iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.WY,Wyoming,MtCO2e,70.12,68.52,74.32,71.03,73.95,70.63,71.85,72.05,77.14,75.43,75.95,77.36,74.76,76.55,76.66,76.93,76.51,80.34,81.05,76.43,79.02,70.85,86.08,87.29,86.02,68.58,61.98,87.10,72.66,68.74,63.09
USA.UT,Utah,MtCO2e,56.88,55.68,57.43,58.90,59.85,60.76,61.33,62.97,64.57,62.98,64.39,62.50,62.68,63.70,67.24,70.24,69.84,71.19,71.28,65.58,65.53,66.19,64.15,68.90,69.68,67.27,62.69,62.96,64.51,65.22,61.17
USA.IA,Iowa,MtCO2e,54.60,55.88,54.02,62.49,61.79,64.60,65.05,66.37,74.12,74.97,74.33,71.61,72.50,69.63,72.53,71.76,71.16,80.20,84.25,79.94,84.46,78.57,70.70,75.50,77.05,71.06,65.69,66.91,73.58,68.63,56.17
USA.ND,North Dakota,MtCO2e,44.91,45.04,46.84,47.32,45.87,48.53,47.88,47.55,49.16,49.29,47.81,48.03,46.93,47.39,44.58,48.69,46.55,49.41,48.60,49.42,50.99,51.92,53.58,57.62,62.28,60.99,54.26,56.54,65.27,67.83,55.79
USA.TN,Tennessee,MtCO2e,72.11,67.89,74.50,84.79,80.59,87.05,87.97,92.22,92.41,94.05,100.20,97.97,96.26,95.25,96.82,99.23,101.10,100.76,96.34,73.99,77.85,73.88,68.23,66.88,71.52,68.03,71.33,67.37,63.86,63.50,55.19
USA.KS,Kansas,MtCO2e,63.37,62.81,61.55,67.18,67.01,65.84,69.95,67.61,66.69,69.81,70.23,67.86,71.57,75.10,72.89,69.29,68.95,75.61,71.06,68.87,68.55,65.39,61.17,65.65,65.64,60.61,58.35,54.12,58.38,55.91,53.98
USA.VA,Virginia,MtCO2e,44.95,45.08,48.04,51.98,51.70,54.45,59.23,61.15,63.65,65.59,74.27,72.41,70.53,76.11,80.06,80.55,74.13,79.30,69.02,58.13,63.13,53.21,50.19,56.89,57.88,58.55,60.35,55.01,59.75,56.07,51.59
USA.NM,New Mexico,MtCO2e,63.46,60.72,61.80,63.29,65.22,64.33,65.95,67.73,65.97,67.78,70.12,70.03,69.26,69.29,72.40,72.71,73.37,70.90,68.65,68.80,67.25,67.87,65.24,66.49,65.20,64.57,55.21,55.51,52.40,57.66,50.63
USA.SC,South Carolina,MtCO2e,49.17,48.51,48.64,52.93,54.20,52.58,56.73,58.32,61.86,65.24,68.12,65.45,66.45,68.45,75.77,75.26,76.19,76.30,73.82,67.41,68.98,65.09,58.71,53.95,57.38,56.07,54.21,52.28,56.83,53.32,47.89
USA.AL,Alabama,MtCO2e,58.47,62.52,68.98,73.76,72.63,81.09,87.32,85.16,87.60,90.14,96.49,89.74,95.45,96.79,96.31,97.91,99.55,101.14,93.19,71.70,81.87,77.98,70.16,67.70,69.33,64.67,59.38,53.50,58.44,53.17,46.40
